Player,fg%,ortg,pm
Earl Watson,33.8,-6.1,-0.1
Ryan Kelly,33.7,-0.7,-4.3
Kendall Gill,33.1,-5.1,-3.6
Chris Childs,32.8,-4.9,-0.7
Speedy Claxton,32.7,-7.4,-4.1
Sidney Lowe,31.9,-4,-0.6
Deshawn Stevenson,31.2,-1.1,-7.1
Marcus Smart,29.1,6.6,9.6
