Player,ppg,rpg,apg,fg%,3p%,per,pie,OnOffORtg
Marcus Smart,9.2,4.4,5.1,29.1,25,9.8,6.3,5.2
Lebron James,28.5,7.8,8.6,58,42.2,30.5,19.7,-0.6
James Harden,31.4,4.8,9.8,44.6,39.4,29.9,18.6,13.5
Russell Westbrook,21.6,9.1,9.7,40.1,31.4,21.3,17.3,9
Steph Curry,25.9,5.3,6.3,47.4,38.1,27.6,16.8,16.4
Kyrie Irving,23,3.2,5.1,48,36.5,25.8,16.7,5.3
