Player,OnOffORtg,OnOffOppORtg,fg%,fgm,fga,3pm,3pa,plus-minus,top5pm,top5fg%
Marcus Smart,6.6,-7.5,31.8,68,214,31,105,9.1,98,20.83
Kyrie Irving,4.8,5.8,48.4,195,403,50,132,8.4,101,57.61
Jaylen Brown,2.6,-3.8,45.8,124,271,43,105,9.7,95,48.98
Jayson Tatum,-1.4,-0.5,50.2,111,221,35,71,5.5,78,52.1
Terry Rozier,-5.6,-3.8,37.1,76,205,39,106,3.4,69,44.19
