Player,OnOffORtg,OnOffOppORtg,fg%,2p%,3p%,plus-minus,top5pm,top5fg%
Marcus Smart,5.2,-3.6,29.1,32.7,25,9.1,98,20.83
Kyrie Irving,5.3,4.5,48,53.6,36.5,8.4,101,57.61
Jaylen Brown,7.4,-7.4,46.6,49.7,41.5,9.7,95,48.98
Jayson Tatum,-2.7,-0.8,49.2,50,47.6,5.5,78,52.1
Terry Rozier,-6.9,-0.4,38.1,39.8,36.5,3.4,69,44.19
